Hr,CreateTime
,2023-12-13 16:39:00
,2023-12-13 16:40:00
,2023-12-13 16:41:00
,2023-12-13 16:42:00
,2023-12-13 16:43:00
,2023-12-13 16:44:00
,2023-12-13 16:45:00
,2023-12-13 16:46:00
,2023-12-13 16:47:00
,2023-12-13 16:48:00
,2023-12-13 16:49:00
,2023-12-13 16:50:00
,2023-12-13 16:51:00
,2023-12-13 16:52:00
,2023-12-13 16:53:00
,2023-12-13 16:54:00
,2023-12-13 16:55:00
,2023-12-13 16:56:00
,2023-12-13 16:57:00
,2023-12-13 16:58:00
,2023-12-13 16:59:00
,2023-12-13 17:00:00
,2023-12-13 17:01:00
,2023-12-13 17:02:00
,2023-12-13 17:03:00
,2023-12-13 17:04:00
,2023-12-13 17:05:00
,2023-12-13 17:06:00
,2023-12-13 17:07:00
,2023-12-13 17:08:00
,2023-12-13 17:09:00
,2023-12-13 17:10:00
,2023-12-13 17:11:00
,2023-12-13 17:12:00
,2023-12-13 17:13:00
,2023-12-13 17:14:00
,2023-12-13 17:15:00
,2023-12-13 17:16:00
,2023-12-13 17:17:00
,2023-12-13 17:18:00
,2023-12-13 17:19:00
,2023-12-13 17:20:00
,2023-12-13 17:21:00
,2023-12-13 17:22:00
,2023-12-13 17:23:00
,2023-12-13 17:24:00
,2023-12-13 17:25:00
,2023-12-13 17:26:00
,2023-12-13 17:27:00
,2023-12-13 17:28:00
,2023-12-13 17:29:00
,2023-12-13 17:30:00
,2023-12-13 17:31:00
,2023-12-13 17:32:00
,2023-12-13 17:33:00
,2023-12-13 17:34:00
,2023-12-13 17:35:00
,2023-12-13 17:36:00
,2023-12-13 17:37:00
,2023-12-13 17:38:00
,2023-12-13 17:39:00
67.0,2023-12-13 17:40:00
,2023-12-13 17:42:00
,2023-12-13 17:43:00
,2023-12-13 17:44:00
74.0,2023-12-13 17:45:00
78.0,2023-12-13 17:46:00
73.0,2023-12-13 17:47:00
84.0,2023-12-13 17:48:00
77.0,2023-12-13 17:49:00
82.0,2023-12-13 17:50:00
77.0,2023-12-13 17:51:00
80.0,2023-12-13 17:52:00
80.0,2023-12-13 17:53:00
79.0,2023-12-13 17:54:00
80.0,2023-12-13 17:55:00
71.0,2023-12-13 17:56:00
69.0,2023-12-13 17:57:00
75.0,2023-12-13 17:58:00
79.0,2023-12-13 17:59:00
73.0,2023-12-13 18:00:00
81.0,2023-12-13 18:01:00
80.0,2023-12-13 18:02:00
70.0,2023-12-13 18:03:00
72.0,2023-12-13 18:04:00
68.0,2023-12-13 18:05:00
68.0,2023-12-13 18:06:00
69.0,2023-12-13 18:07:00
67.0,2023-12-13 18:08:00
65.0,2023-12-13 18:09:00
